id,neighbourhood_cleansed,room_type,property_type,accommodates,bedrooms,bathrooms,beds,amenities_count,price,availability_365,review_scores_rating,number_of_reviews,reviews_per_month,host_is_superhost,instant_bookable,high_price_listing
1067647165317983090,ΑΚΡΟΠΟΛΗ,Entire home/apt,Entire rental unit,6,2.0,2.0,3.0,38,398.0,174,,0,,0.0,1,1
1349819356561659130,ΝΕΟΣ ΚΟΣΜΟΣ,Private room,Room in hotel,7,2.0,2.0,4.0,42,398.0,316,,0,,0.0,1,1
51357613,ΑΚΡΟΠΟΛΗ,Entire home/apt,Entire condo,6,3.0,3.0,3.0,47,396.0,48,5.0,6,0.12,0.0,1,1
1259097375606817612,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,Entire rental unit,8,3.0,2.0,4.0,22,395.0,328,,0,,0.0,1,1
862172824621231434,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,Entire rental unit,6,2.0,1.0,4.0,33,394.0,356,,0,,1.0,1,1
17021343,ΖΑΠΠΕΙΟ,Entire home/apt,Entire condo,8,3.0,2.5,4.0,55,393.0,319,4.98,116,1.11,1.0,1,1
17478689,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,Entire rental unit,6,3.0,2.0,4.0,37,391.0,66,4.9,39,0.38,0.0,0,1
1025931172860265698,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,Entire rental unit,8,3.0,3.5,5.0,36,391.0,246,5.0,11,0.49,1.0,1,1
32229006,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,Entire home/apt,Entire rental unit,8,3.0,2.0,4.0,40,390.0,343,4.94,65,0.83,1.0,1,1
33821833,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,11,390.0,139,4.8,5,0.06,0.0,0,1
36626892,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,Entire rental unit,6,2.0,2.0,3.0,25,390.0,14,4.97,68,1.18,1.0,1,1
1068992765957802391,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,31,390.0,139,,0,,0.0,0,1
1405146802909182923,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,Entire condo,6,3.0,2.0,3.0,48,390.0,340,4.94,17,3.47,1.0,1,1
1111505361764389724,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,Private room,Room in hotel,2,1.0,1.0,1.0,43,388.0,259,,0,,1.0,1,1
1111547767123097592,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,Private room,Room in hotel,2,1.0,1.0,2.0,43,388.0,258,,0,,1.0,1,1
1359753333476469700,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,Entire condo,4,2.0,2.0,2.0,52,388.0,353,5.0,8,1.29,1.0,1,1
1097555397660197040,ΖΑΠΠΕΙΟ,Entire home/apt,Entire home,6,3.0,3.0,3.0,59,387.0,194,4.84,25,1.33,1.0,1,1
46132709,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,34,386.0,342,,0,,1.0,1,1
48911040,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,Entire townhouse,7,3.0,2.0,4.0,36,386.0,353,4.82,77,1.47,1.0,1,1
1512906669857254891,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,Entire rental unit,8,3.0,3.0,4.0,39,386.0,297,,0,,1.0,1,1
15366300,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,Entire home/apt,Entire rental unit,4,2.0,2.5,2.0,32,384.0,59,4.97,226,2.19,1.0,1,1
45430266,ΖΑΠΠΕΙΟ,Entire home/apt,Entire serviced apartment,2,1.0,1.5,1.0,46,384.0,253,5.0,9,0.19,1.0,0,1
1303691483193598006,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,1,384.0,364,,0,,0.0,0,1
938456509635969462,ΖΑΠΠΕΙΟ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,23,383.0,176,,0,,0.0,0,1
1300100719888647214,ΝΕΟΣ ΚΟΣΜΟΣ,Entire home/apt,Entire rental unit,4,2.0,2.0,2.0,44,383.0,296,5.0,7,0.84,1.0,1,1
936155281261783379,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,Entire home/apt,Entire condo,10,4.0,2.5,4.0,62,382.0,217,4.98,55,2.07,1.0,1,1
1422475134818234326,ΚΟΛΩΝΑΚΙ,Entire home/apt,Entire rental unit,4,2.0,2.0,4.0,44,382.0,354,,0,,1.0,1,1
42920283,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,Entire home/apt,Entire home,6,3.0,2.0,3.0,39,380.0,149,,0,,0.0,1,1
47040329,ΖΑΠΠΕΙΟ,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,42,380.0,357,5.0,4,0.07,0.0,1,1
872095178864208966,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,Entire condo,2,1.0,1.5,1.0,56,380.0,345,4.84,56,2.21,0.0,1,1
1075827828211791931,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,Entire home,4,1.0,1.0,3.0,35,380.0,329,,0,,0.0,0,1
1156225162659418436,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Private room,Private room in home,3,1.0,1.0,2.0,26,380.0,327,,0,,0.0,0,1
1066547119399261105,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,Entire home/apt,Entire home,2,1.0,1.0,1.0,28,379.0,356,,0,,0.0,0,1
1115866434200127875,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,Private room,Room in hotel,1,1.0,1.0,1.0,43,378.0,259,,0,,1.0,1,1
843283048808246802,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,Entire home/apt,Entire home,9,3.0,2.0,5.0,53,377.0,312,4.94,104,3.65,1.0,1,1
887390326326636927,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,Entire home/apt,Entire rental unit,4,2.0,2.0,2.0,25,376.0,365,5.0,4,0.16,1.0,1,1
23987766,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,Entire home/apt,Entire rental unit,6,2.0,2.0,4.0,53,374.0,312,5.0,17,0.19,1.0,1,1
49499012,ΚΟΛΩΝΟΣ,Entire home/apt,Entire condo,9,3.0,1.0,6.0,65,374.0,215,4.83,321,5.99,1.0,1,1
1100593794932818387,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,Entire rental unit,6,3.0,2.0,3.0,63,372.0,296,5.0,1,0.06,1.0,1,1
985218840753257672,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,Entire home/apt,Entire rental unit,8,4.0,4.0,4.0,53,371.0,311,5.0,54,2.56,1.0,1,1
1398677642976759217,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,Entire condo,6,3.0,3.0,3.0,48,371.0,318,5.0,28,6.36,1.0,1,1
18381343,ΚΕΡΑΜΕΙΚΟΣ,Entire home/apt,Entire villa,10,5.0,4.5,6.0,54,370.0,113,4.81,172,1.68,1.0,1,1
46132375,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,Entire rental unit,4,1.0,1.0,1.0,37,370.0,356,4.67,3,0.06,1.0,1,1
18355060,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,Entire home/apt,Entire rental unit,8,4.0,3.0,5.0,49,369.0,323,4.83,241,2.37,,1,1
21994965,ΝΕΟΣ ΚΟΣΜΟΣ,Entire home/apt,Entire rental unit,4,2.0,2.0,2.0,50,369.0,269,4.92,154,1.68,0.0,0,1
