neighbourhood_cleansed,room_type,number_of_listings,average_price,high_price_listing_share,average_accommodates,average_bedrooms,average_bathrooms
ΘΗΣΕΙΟ,Private room,39,152.54,64.1,2.82,0.97,1.24
ΚΕΡΑΜΕΙΚΟΣ,Private room,22,134.18,54.55,2.59,0.95,1.16
ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Private room,228,133.39,53.07,2.63,0.99,1.23
ΖΑΠΠΕΙΟ,Entire home/apt,173,136.5,44.51,4.45,1.55,1.26
ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,2629,123.51,44.16,3.51,1.19,1.15
ΑΚΡΟΠΟΛΗ,Entire home/apt,425,122.85,42.82,3.96,1.49,1.24
ΝΕΟΣ ΚΟΣΜΟΣ,Private room,33,120.82,42.42,2.58,1.03,1.02
ΚΟΛΩΝΑΚΙ,Entire home/apt,441,123.81,41.72,3.57,1.38,1.27
ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,Private room,34,149.76,41.18,2.59,1.12,1.13
ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Hotel room,24,146.71,37.5,2.63,1.13,1.0
ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,Entire home/apt,1274,115.22,36.81,4.15,1.53,1.18
ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,Private room,74,82.34,33.78,2.2,1.05,1.04
ΚΕΡΑΜΕΙΚΟΣ,Entire home/apt,362,104.07,33.15,4.13,1.51,1.23
ΘΗΣΕΙΟ,Entire home/apt,392,106.23,31.63,4.04,1.42,1.16
ΛΥΚΑΒΗΤΤΟΣ,Entire home/apt,174,95.3,28.74,3.27,1.22,1.11
1Ο ΝΕΚΡΟΤΑΦΕΙΟ,Entire home/apt,39,92.26,28.21,3.87,1.49,1.23
ΓΚΑΖΙ,Entire home/apt,104,102.53,26.92,3.79,1.38,1.22
ΙΛΙΣΙΑ,Entire home/apt,201,93.46,22.89,3.69,1.44,1.22
ΠΕΔΙΟ ΑΡΕΩΣ,Entire home/apt,82,80.78,20.73,3.95,1.53,1.25
ΣΤΑΔΙΟ,Entire home/apt,225,90.73,20.44,3.7,1.37,1.17
ΝΕΟΣ ΚΟΣΜΟΣ,Entire home/apt,1052,85.25,17.68,3.92,1.47,1.19
ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,Entire home/apt,939,85.8,15.34,3.68,1.37,1.17
ΠΑΓΚΡΑΤΙ,Entire home/apt,569,79.12,14.06,3.79,1.51,1.23
ΚΥΨΕΛΗ,Entire home/apt,238,68.66,13.45,3.87,1.53,1.18
ΓΟΥΔΙ,Entire home/apt,243,77.85,12.76,3.51,1.27,1.11
ΒΟΤΑΝΙΚΟΣ,Entire home/apt,106,82.75,12.26,3.58,1.3,1.14
ΠΕΤΡΑΛΩΝΑ,Entire home/apt,413,80.36,12.11,3.71,1.32,1.13
ΓΟΥΒΑ,Entire home/apt,93,79.42,10.75,3.7,1.44,1.14
ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,Entire home/apt,97,67.71,9.28,3.57,1.34,1.18
ΑΜΠΕΛΟΚΗΠΟΙ,Entire home/apt,412,69.39,9.22,3.59,1.35,1.13
ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Private room,113,53.46,8.85,2.12,0.99,1.27
ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,Entire home/apt,68,64.19,8.82,3.97,1.5,1.13
ΑΝΩ ΠΑΤΗΣΙΑ,Entire home/apt,61,59.72,8.2,3.44,1.34,1.14
ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Entire home/apt,765,67.9,6.93,3.7,1.36,1.11
ΚΟΛΩΝΟΣ,Entire home/apt,118,67.58,6.78,3.53,1.28,1.1
ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Entire home/apt,471,63.49,5.31,4.53,1.65,1.22
ΝΙΡΒΑΝΑ,Entire home/apt,136,56.38,5.15,3.57,1.32,1.09
ΑΝΩ ΚΥΨΕΛΗ,Entire home/apt,113,53.77,4.42,3.6,1.39,1.1
ΓΚΥΖΗ,Entire home/apt,91,60.03,4.4,3.25,1.31,1.08
ΝΕΑ ΚΥΨΕΛΗ,Entire home/apt,48,57.42,4.17,3.25,1.27,1.1
ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,Entire home/apt,147,60.93,4.08,3.8,1.5,1.19
ΠΑΤΗΣΙΑ,Entire home/apt,136,52.82,2.94,3.51,1.3,1.11
ΣΕΠΟΛΙΑ,Entire home/apt,50,61.16,2.0,3.4,1.3,1.08
ΕΛΛΗΝΟΡΩΣΩΝ,Entire home/apt,57,61.21,1.75,3.54,1.47,1.18
ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,Entire home/apt,74,54.43,1.35,3.64,1.41,1.08
ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Private room,48,30.06,0.0,1.85,1.06,1.26
ΚΥΨΕΛΗ,Private room,34,27.76,0.0,1.94,1.21,1.22
ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,Entire home/apt,30,45.3,0.0,3.23,1.3,1.05
