,price
price,1.0
log_price,0.9339975170886211
accommodates,0.3851949362412774
bathrooms,0.36314534648670177
bedrooms,0.35092507867189404
estimated_revenue_l365d,0.33093778197823825
beds,0.29424092678486286
review_scores_rating,0.1367549154767974
amenities_count,0.12147186653521133
availability_365,0.07175696256714996
availability_rate,0.07175696256714988
host_experience_days,0.03332190708489104
reviews_per_month,-0.03569028041309136
number_of_reviews,-0.038564827569917665
minimum_nights,-0.044975266575608755
estimated_occupancy_l365d,-0.08807510430417516
